Territorialidade,Posição IDHM,IDHM,Posição IDHM Renda,IDHM Renda,Posição IDHM Educação,IDHM Educação,Posição IDHM Longevidade,IDHM Longevidade,Posição Mulheres,IDHM Mulheres,Posição Homens,IDHM Homens,Posição Negros,IDHM Negros,Posição Brancos,IDHM Brancos,Posição Urbano,IDHM Urbano,Posição Rural,IDHM Rural
São Caetano do Sul (SP),1,0.862,1,0.891,2,0.811,19,0.887,,,,,,,,,,,,
Águas de São Pedro (SP),2,0.854,12,0.849,1,0.825,11,0.89,,,,,,,,,,,,
Florianópolis (SC),3,0.847,5,0.87,5,0.8,147,0.873,1.0,0.94,9.0,0.805,2.0,0.858,9.0,0.876,,,,
Vitória (ES),4,0.845,3,0.876,4,0.805,551,0.855,37.0,0.824,7.0,0.811,39.0,0.745,2.0,0.89,,,,
Balneário Camboriú (SC),4,0.845,10,0.854,6,0.789,1,0.894,,,,,,,,,,,,
Santos (SP),6,0.84,9,0.861,3,0.807,643,0.852,30.0,0.854,2.0,0.868,33.0,0.754,3.0,0.888,,,,
Niterói (RJ),7,0.837,2,0.887,13,0.773,581,0.854,5.0,0.922,32.0,0.77,7.0,0.843,10.0,0.875,,,,
Joaçaba (SC),8,0.827,31,0.823,15,0.771,7,0.891,,,,,,,,,,,,
Brasília (DF),9,0.824,8,0.863,73,0.742,147,0.873,31.0,0.851,9.0,0.805,28.0,0.789,14.0,0.866,,,,
Curitiba (PR),10,0.823,11,0.85,17,0.768,551,0.855,4.0,0.924,31.0,0.773,22.0,0.813,11.0,0.873,,,,
Jundiaí (SP),11,0.822,24,0.834,17,0.768,276,0.866,32.0,0.845,9.0,0.805,30.0,0.758,25.0,0.842,,,,
Valinhos (SP),12,0.819,13,0.848,23,0.763,722,0.85,,,,,,,,,,,,
Vinhedo (SP),13,0.817,18,0.84,82,0.739,98,0.878,,,,,,,,,,,,
Santo André (SP),14,0.815,33,0.819,16,0.769,390,0.861,6.0,0.92,14.0,0.796,9.0,0.841,7.0,0.884,,,,
Araraquara (SP),14,0.815,87,0.788,7,0.782,110,0.877,,,,,,,,,,,,
Santana de Parnaíba (SP),16,0.814,3,0.876,149,0.725,759,0.849,,,,,,,,,,,,
Nova Lima (MG),17,0.813,7,0.864,305,0.704,40,0.885,,,,,,,,,,,,
Ilha Solteira (SP),18,0.812,97,0.786,7,0.782,181,0.871,,,,,,,,,,,,
Americana (SP),19,0.811,52,0.8,30,0.76,118,0.876,,,,,,,,,,,,
Belo Horizonte (MG),20,0.81,17,0.841,97,0.737,527,0.856,67.0,0.759,61.0,0.742,73.0,0.685,47.0,0.81,,,,
Joinville (SC),21,0.809,64,0.795,53,0.749,15,0.889,36.0,0.829,18.0,0.791,38.0,0.747,40.0,0.821,,,,
São José (SC),21,0.809,57,0.799,42,0.752,83,0.88,,,,,,,,,,,,
Maringá (PR),23,0.808,44,0.806,17,0.768,643,0.852,35.0,0.836,16.0,0.794,32.0,0.755,37.0,0.827,,,,
São José dos Campos (SP),24,0.807,48,0.804,22,0.764,551,0.855,12.0,0.912,13.0,0.797,4.0,0.853,17.0,0.856,,,,
Rio Fortuna (SC),25,0.806,13,0.848,135,0.727,722,0.85,,,,,,,,,,,,
Blumenau (SC),25,0.806,37,0.812,162,0.722,1,0.894,42.0,0.811,6.0,0.814,40.0,0.743,42.0,0.818,,,,
Presidente Prudente (SP),25,0.806,87,0.788,12,0.774,473,0.858,,,,,,,,,,,,
São Paulo (SP),28,0.805,15,0.843,149,0.725,551,0.855,33.0,0.839,3.0,0.847,53.0,0.722,6.0,0.885,,,,
Assis (SP),28,0.805,187,0.771,9,0.781,303,0.865,,,,,,,,,,,,
São Carlos (SP),28,0.805,87,0.788,20,0.766,343,0.863,,,,,,,,,,,,
São Bernardo do Campo (SP),28,0.805,41,0.807,42,0.752,390,0.861,8.0,0.919,18.0,0.791,9.0,0.841,3.0,0.888,,,,
Campinas (SP),28,0.805,27,0.829,119,0.731,425,0.86,69.0,0.754,63.0,0.739,89.0,0.655,64.0,0.783,,,,
Porto Alegre (RS),28,0.805,6,0.867,331,0.702,501,0.857,26.0,0.865,1.0,0.869,46.0,0.732,5.0,0.887,,,,
Rio Claro (SP),34,0.803,106,0.784,20,0.766,372,0.862,,,,,,,,,,,,
Jaraguá do Sul (SC),34,0.803,70,0.793,36,0.755,303,0.865,,,,,,,,,,,,
Rio do Sul (SC),36,0.802,70,0.793,135,0.727,1,0.894,,,,,,,,,,,,
Bauru (SP),37,0.801,52,0.8,42,0.752,581,0.854,37.0,0.824,24.0,0.784,47.0,0.731,32.0,0.832,,,,
São Miguel do Oeste (SC),37,0.801,93,0.787,82,0.739,55,0.884,,,,,,,,,,,,
Pirassununga (SP),37,0.801,83,0.789,100,0.736,55,0.884,,,,,,,,,,,,
Vila Velha (ES),40,0.8,41,0.807,105,0.734,319,0.864,44.0,0.804,8.0,0.809,33.0,0.754,17.0,0.856,,,,
Botucatu (SP),40,0.8,78,0.79,67,0.746,222,0.869,,,,,,,,,,,,
Concórdia (SC),40,0.8,151,0.777,35,0.756,169,0.872,,,,,,,,,,,,
Taubaté (SP),40,0.8,141,0.778,67,0.746,64,0.883,66.0,0.762,45.0,0.752,75.0,0.683,70.0,0.773,,,,
Ribeirão Preto (SP),40,0.8,32,0.82,82,0.739,986,0.844,64.0,0.766,54.0,0.746,88.0,0.656,59.0,0.789,,,,
Goiânia (GO),45,0.799,30,0.824,82,0.739,1281,0.838,14.0,0.905,33.0,0.769,14.0,0.834,24.0,0.843,,,,
Rio de Janeiro (RJ),45,0.799,18,0.84,172,0.719,943,0.845,33.0,0.839,4.0,0.842,35.0,0.751,1.0,0.894,,,,
Guaratinguetá (SP),47,0.798,241,0.764,47,0.751,22,0.886,,,,,,,,,,,,
Sorocaba (SP),47,0.798,73,0.792,24,0.762,1032,0.843,37.0,0.824,26.0,0.78,35.0,0.751,44.0,0.816,,,,
Marília (SP),47,0.798,202,0.768,11,0.776,581,0.854,,,,,,,,,,,,
São José do Rio Preto (SP),50,0.797,50,0.801,59,0.748,901,0.846,62.0,0.769,42.0,0.754,77.0,0.679,68.0,0.777,,,,
Fernandópolis (SP),50,0.797,213,0.767,32,0.758,169,0.872,,,,,,,,,,,,
São João da Boa Vista (SP),50,0.797,155,0.776,53,0.749,181,0.871,,,,,,,,,,,,
Tubarão (SC),53,0.796,87,0.788,75,0.74,276,0.866,,,,,,,,,,,,
Carlos Barbosa (RS),53,0.796,23,0.835,151,0.724,1419,0.835,,,,,,,,,,,,
Itapema (SC),53,0.796,87,0.788,135,0.727,77,0.881,,,,,,,,,,,,
Brusque (SC),56,0.795,66,0.794,269,0.707,1,0.894,,,,,,,,,,,,
Treze Tílias (SC),56,0.795,21,0.838,527,0.685,135,0.874,,,,,,,,,,,,
Paulínia (SP),56,0.795,52,0.8,135,0.727,319,0.864,,,,,,,,,,,,
Iomerê (SC),56,0.795,349,0.754,53,0.749,7,0.891,,,,,,,,,,,,
Itajaí (SC),56,0.795,141,0.778,122,0.73,55,0.884,,,,,,,,,,,,
Holambra (SP),61,0.793,35,0.815,374,0.698,98,0.878,,,,,,,,,,,,
Ipiranga do Sul (RS),62,0.791,34,0.818,374,0.698,276,0.866,,,,,,,,,,,,
Três Arroios (RS),62,0.791,15,0.843,483,0.689,702,0.851,,,,,,,,,,,,
Nova Odessa (SP),62,0.791,335,0.755,24,0.762,390,0.861,,,,,,,,,,,,
Saltinho (SP),62,0.791,187,0.771,50,0.75,501,0.857,,,,,,,,,,,,
Quatro Pontes (PR),62,0.791,78,0.79,59,0.748,1281,0.838,,,,,,,,,,,,
Votuporanga (SP),67,0.79,179,0.772,70,0.744,501,0.857,,,,,,,,,,,,
Adamantina (SP),67,0.79,179,0.772,50,0.75,643,0.852,,,,,,,,,,,,
Chapecó (SC),67,0.79,137,0.779,135,0.727,181,0.871,,,,,,,,,,,,
Santa Cruz da Conceição (SP),67,0.79,26,0.83,593,0.679,118,0.876,,,,,,,,,,,,
Barretos (SP),71,0.789,266,0.762,93,0.738,128,0.875,,,,,,,,,,,,
Cândido Rodrigues (SP),71,0.789,478,0.747,24,0.762,343,0.863,,,,,,,,,,,,
Lagoa dos Três Cantos (RS),71,0.789,232,0.765,39,0.754,643,0.852,,,,,,,,,,,,
Uberlândia (MG),71,0.789,155,0.776,193,0.716,40,0.885,40.0,0.819,30.0,0.775,37.0,0.749,38.0,0.826,,,,
Luzerna (SC),71,0.789,125,0.781,179,0.718,110,0.877,,,,,,,,,,,,
Cruzeiro (SP),76,0.788,565,0.742,32,0.758,181,0.871,,,,,,,,,,,,
Mairiporã (SP),76,0.788,213,0.767,155,0.723,77,0.881,,,,,,,,,,,,
Fernando de Noronha (PE),76,0.788,125,0.781,59,0.748,1238,0.839,,,,,,,,,,,,
Araçatuba (SP),76,0.788,116,0.782,70,0.744,1128,0.841,,,,,,,,,,,,
Palmas (TO),76,0.788,83,0.789,53,0.749,1798,0.827,27.0,0.864,23.0,0.785,17.0,0.825,27.0,0.84,,,,
Barra Bonita (SP),76,0.788,266,0.762,82,0.739,222,0.869,,,,,,,,,,,,
Indaiatuba (SP),76,0.788,75,0.791,93,0.738,1315,0.837,,,,,,,,,,,,
Criciúma (SC),76,0.788,97,0.786,97,0.737,901,0.846,,,,,,,,,,,,
Caçapava (SP),76,0.788,349,0.754,36,0.755,473,0.858,,,,,,,,,,,,
Espírito Santo do Pinhal (SP),85,0.787,106,0.784,223,0.712,169,0.872,,,,,,,,,,,,
Itajubá (MG),85,0.787,213,0.767,179,0.718,55,0.884,,,,,,,,,,,,
Pompéia (SP),87,0.786,415,0.75,59,0.748,319,0.864,,,,,,,,,,,,
Lins (SP),87,0.786,266,0.762,107,0.733,222,0.869,,,,,,,,,,,,
Porto União (SC),87,0.786,375,0.752,151,0.724,7,0.891,,,,,,,,,,,,
Garibaldi (RS),87,0.786,28,0.825,495,0.688,527,0.856,,,,,,,,,,,,
Barueri (SP),87,0.786,75,0.791,257,0.708,276,0.866,81.0,0.731,80.0,0.719,78.0,0.676,84.0,0.759,,,,
Cuiabá (MT),92,0.785,52,0.8,142,0.726,1464,0.834,40.0,0.819,34.0,0.767,30.0,0.758,30.0,0.837,,,,
Amparo (SP),92,0.785,132,0.78,232,0.711,181,0.871,,,,,,,,,,,,
Tremembé (SP),92,0.785,194,0.769,168,0.72,147,0.873,,,,,,,,,,,,
Casca (RS),92,0.785,141,0.778,107,0.733,846,0.847,,,,,,,,,,,,
Monte Aprazível (SP),92,0.785,125,0.781,168,0.72,390,0.861,,,,,,,,,,,,
Piracicaba (SP),92,0.785,59,0.797,185,0.717,792,0.848,79.0,0.734,76.0,0.722,98.0,0.64,86.0,0.757,,,,
Nova Araçá (RS),92,0.785,61,0.796,162,0.722,1032,0.843,,,,,,,,,,,,
Catanduva (SP),92,0.785,213,0.767,75,0.74,610,0.853,,,,,,,,,,,,
Campo Grande (MS),100,0.784,78,0.79,151,0.724,986,0.844,52.0,0.787,17.0,0.793,43.0,0.735,34.0,0.829,,,,
Salto Veloso (SC),100,0.784,141,0.778,293,0.705,83,0.88,,,,,,,,,,,,
Jaguariúna (SP),100,0.784,116,0.782,205,0.715,372,0.862,,,,,,,,,,,,
Mogi Mirim (SP),100,0.784,213,0.767,205,0.715,94,0.879,,,,,,,,,,,,
Santa Maria (RS),100,0.784,64,0.795,205,0.715,792,0.848,47.0,0.796,15.0,0.795,69.0,0.693,48.0,0.809,,,,
Timbó (SC),100,0.784,41,0.807,389,0.697,527,0.856,,,,,,,,,,,,
Ribeirão Pires (SP),100,0.784,435,0.749,30,0.76,846,0.847,,,,,,,,,,,,
Santa Fé do Sul (SP),100,0.784,252,0.763,47,0.751,1183,0.84,,,,,,,,,,,,
Arujá (SP),100,0.784,281,0.761,122,0.73,276,0.866,,,,,,,,,,,,
Ivoti (RS),100,0.784,132,0.78,125,0.729,792,0.848,,,,,,,,,,,,
Mogi das Cruzes (SP),110,0.783,266,0.762,75,0.74,702,0.851,65.0,0.765,54.0,0.746,72.0,0.687,69.0,0.775,,,,
Pinhalzinho (SC),110,0.783,303,0.758,193,0.716,22,0.886,,,,,,,,,,,,
Horizontina (RS),110,0.783,116,0.782,193,0.716,473,0.858,,,,,,,,,,,,
São Bento do Sul (SC),113,0.782,252,0.763,172,0.719,181,0.871,,,,,,,,,,,,
Cerquilho (SP),113,0.782,303,0.758,82,0.739,581,0.854,,,,,,,,,,,,
Caxias do Sul (RS),113,0.782,37,0.812,516,0.686,425,0.86,11.0,0.913,21.0,0.79,11.0,0.84,13.0,0.867,,,,
Pato Branco (PR),113,0.782,141,0.778,127,0.728,943,0.845,,,,,,,,,,,,
Lavras (MG),113,0.782,316,0.757,172,0.719,83,0.88,,,,,,,,,,,,
Cascavel (PR),113,0.782,155,0.776,127,0.728,901,0.846,6.0,0.92,37.0,0.765,12.0,0.835,20.0,0.852,,,,
Lacerdópolis (SC),119,0.781,252,0.763,257,0.708,64,0.883,,,,,,,,,,,,
Maravilha (SC),119,0.781,303,0.758,257,0.708,22,0.886,,,,,,,,,,,,
Santa Bárbara D'Oeste (SP),119,0.781,375,0.752,119,0.731,257,0.867,,,,,,,,,,,,
Santo Amaro da Imperatriz (SC),119,0.781,360,0.753,239,0.71,11,0.89,,,,,,,,,,,,
Caieiras (SP),119,0.781,596,0.74,53,0.749,390,0.861,,,,,,,,,,,,
Araras (SP),119,0.781,252,0.763,127,0.728,451,0.859,,,,,,,,,,,,
Águas da Prata (SP),119,0.781,415,0.75,193,0.716,22,0.886,,,,,,,,,,,,
Ijuí (RS),119,0.781,97,0.786,269,0.707,473,0.858,,,,,,,,,,,,
Bombinhas (SC),119,0.781,360,0.753,114,0.732,319,0.864,,,,,,,,,,,,
Franca (SP),128,0.78,435,0.749,41,0.753,1075,0.842,29.0,0.859,42.0,0.754,26.0,0.8,46.0,0.813,,,,
Cocal do Sul (SC),128,0.78,478,0.747,75,0.74,451,0.859,,,,,,,,,,,,
Pomerode (SC),128,0.78,132,0.78,505,0.687,22,0.886,,,,,,,,,,,,
Braço do Trombudo (SC),128,0.78,223,0.766,331,0.702,64,0.883,,,,,,,,,,,,
Corupá (SC),128,0.78,202,0.768,269,0.707,147,0.873,,,,,,,,,,,,
Boituva (SP),128,0.78,316,0.757,127,0.728,390,0.861,,,,,,,,,,,,
Salto (SP),128,0.78,335,0.755,47,0.751,1315,0.837,,,,,,,,,,,,
Nova Petrópolis (RS),128,0.78,162,0.775,495,0.688,11,0.89,,,,,,,,,,,,
Orlândia (SP),128,0.78,232,0.765,318,0.703,70,0.882,,,,,,,,,,,,
Birigui (SP),128,0.78,548,0.743,105,0.734,222,0.869,,,,,,,,,,,,
Bebedouro (SP),128,0.78,321,0.756,104,0.735,610,0.853,,,,,,,,,,,,
Cotia (SP),128,0.78,83,0.789,269,0.707,702,0.851,,,,,,,,,,,,
Vista Alegre do Prata (RS),128,0.78,39,0.809,450,0.692,846,0.847,,,,,,,,,,,,
Poços de Caldas (MG),141,0.779,202,0.768,282,0.706,169,0.872,,,,,,,,,,,,
Piratininga (SP),141,0.779,266,0.762,155,0.723,451,0.859,,,,,,,,,,,,
Andradina (SP),141,0.779,266,0.762,331,0.702,40,0.885,,,,,,,,,,,,
Seara (SC),141,0.779,48,0.804,668,0.674,169,0.872,,,,,,,,,,,,
Itatiba (SP),145,0.778,87,0.788,257,0.708,986,0.844,,,,,,,,,,,,
Nova Bréscia (RS),145,0.778,22,0.836,768,0.666,846,0.847,,,,,,,,,,,,
Lajeado (RS),145,0.778,61,0.796,305,0.704,1183,0.84,,,,,,,,,,,,
Juiz de Fora (MG),145,0.778,106,0.784,232,0.711,986,0.844,53.0,0.782,22.0,0.786,64.0,0.697,35.0,0.828,,,,
Varginha (MG),145,0.778,291,0.76,269,0.707,128,0.875,,,,,,,,,,,,
Jaboticabal (SP),145,0.778,141,0.778,239,0.71,702,0.851,,,,,,,,,,,,
Braço do Norte (SC),145,0.778,494,0.746,193,0.716,77,0.881,,,,,,,,,,,,
Bento Gonçalves (RS),145,0.778,46,0.805,416,0.695,1075,0.842,,,,,,,,,,,,
Jaú (SP),145,0.778,202,0.768,442,0.693,22,0.886,,,,,,,,,,,,
Tietê (SP),145,0.778,241,0.764,374,0.698,55,0.884,,,,,,,,,,,,
Londrina (PR),145,0.778,83,0.789,223,0.712,1315,0.837,43.0,0.81,40.0,0.758,58.0,0.711,53.0,0.799,,,,
Ourinhos (SP),145,0.778,360,0.753,135,0.727,451,0.859,,,,,,,,,,,,
Lagoa Santa (MG),157,0.777,78,0.79,442,0.693,501,0.857,,,,,,,,,,,,
Pinheiro Preto (SC),157,0.777,266,0.762,223,0.712,276,0.866,,,,,,,,,,,,
Mafra (SC),157,0.777,639,0.738,155,0.723,83,0.88,,,,,,,,,,,,
Selbach (RS),157,0.777,105,0.785,239,0.71,1128,0.841,,,,,,,,,,,,
Jacareí (SP),157,0.777,435,0.749,53,0.749,1315,0.837,,,,,,,,,,,,
José Bonifácio (SP),157,0.777,375,0.752,185,0.717,222,0.869,,,,,,,,,,,,
Sarandi (RS),157,0.777,155,0.776,293,0.705,473,0.858,,,,,,,,,,,,
Farroupilha (RS),157,0.777,112,0.783,404,0.696,390,0.861,,,,,,,,,,,,
Indaial (SC),157,0.777,213,0.767,344,0.701,147,0.873,,,,,,,,,,,,
Victor Graeff (RS),157,0.777,166,0.774,162,0.722,1183,0.84,,,,,,,,,,,,
Louveira (SP),157,0.777,112,0.783,389,0.697,390,0.861,,,,,,,,,,,,
Erechim (RS),168,0.776,116,0.782,193,0.716,1515,0.833,,,,,,,,,,,,
Iracemápolis (SP),168,0.776,565,0.742,125,0.729,343,0.863,,,,,,,,,,,,
Jales (SP),168,0.776,415,0.75,122,0.73,551,0.855,,,,,,,,,,,,
Bragança Paulista (SP),168,0.776,179,0.772,305,0.704,390,0.861,,,,,,,,,,,,
Osasco (SP),168,0.776,155,0.776,179,0.718,1183,0.84,74.0,0.739,70.0,0.725,83.0,0.67,76.0,0.766,,,,
Araçoiaba da Serra (SP),168,0.776,398,0.751,155,0.723,425,0.86,,,,,,,,,,,,
Passo Fundo (RS),168,0.776,93,0.787,364,0.699,759,0.849,,,,,,,,,,,,
Itaú de Minas (MG),168,0.776,281,0.761,232,0.711,372,0.862,,,,,,,,,,,,
Dracena (SP),168,0.776,375,0.752,97,0.737,1075,0.842,,,,,,,,,,,,
Pirapozinho (SP),168,0.776,596,0.74,107,0.733,343,0.863,,,,,,,,,,,,
Santa Rita do Passa Quatro (SP),178,0.775,241,0.764,516,0.686,19,0.887,,,,,,,,,,,,
Xanxerê (SC),178,0.775,291,0.76,232,0.711,390,0.861,,,,,,,,,,,,
Itapiranga (SC),178,0.775,223,0.766,155,0.723,1075,0.842,,,,,,,,,,,,
Ceres (GO),178,0.775,360,0.753,107,0.733,1075,0.842,,,,,,,,,,,,
Viçosa (MG),178,0.775,303,0.758,404,0.696,64,0.883,,,,,,,,,,,,
Limeira (SP),178,0.775,281,0.761,172,0.719,643,0.852,49.0,0.794,38.0,0.76,48.0,0.727,57.0,0.795,,,,
Trombudo Central (SC),178,0.775,291,0.76,404,0.696,83,0.88,,,,,,,,,,,,
Treviso (SC),185,0.774,665,0.737,212,0.714,70,0.882,,,,,,,,,,,,
Massaranduba (SC),185,0.774,435,0.749,212,0.714,257,0.867,,,,,,,,,,,,
Francisco Beltrão (PR),185,0.774,303,0.758,142,0.726,986,0.844,,,,,,,,,,,,
Ouro (SC),185,0.774,166,0.774,620,0.677,55,0.884,,,,,,,,,,,,
Marechal Cândido Rondon (PR),185,0.774,116,0.782,305,0.704,1075,0.842,,,,,,,,,,,,
Siderópolis (SC),185,0.774,398,0.751,344,0.701,83,0.88,,,,,,,,,,,,
Pedrinhas Paulista (SP),185,0.774,435,0.749,82,0.739,1315,0.837,,,,,,,,,,,,
Pouso Alegre (MG),185,0.774,335,0.755,305,0.704,169,0.872,,,,,,,,,,,,
Cruzália (SP),185,0.774,1649,0.698,10,0.778,610,0.853,,,,,,,,,,,,
Marau (RS),185,0.774,175,0.773,364,0.699,501,0.857,,,,,,,,,,,,
São José do Rio Pardo (SP),185,0.774,532,0.744,185,0.717,238,0.868,,,,,,,,,,,,
Mogi Guaçu (SP),185,0.774,596,0.74,100,0.736,643,0.852,,,,,,,,,,,,
Sebastianópolis do Sul (SP),197,0.773,462,0.748,75,0.74,1419,0.835,,,,,,,,,,,,
Auriflama (SP),197,0.773,494,0.746,93,0.738,1183,0.84,,,,,,,,,,,,
Pindamonhangaba (SP),197,0.773,517,0.745,100,0.736,1032,0.843,,,,,,,,,,,,
Serra Alta (SC),197,0.773,303,0.758,431,0.694,94,0.879,,,,,,,,,,,,
Olímpia (SP),197,0.773,665,0.737,151,0.724,257,0.867,,,,,,,,,,,,
Santana da Ponte Pensa (SP),197,0.773,398,0.751,107,0.733,1183,0.84,,,,,,,,,,,,
Matão (SP),197,0.773,223,0.766,220,0.713,846,0.847,,,,,,,,,,,,
Araguari (MG),197,0.773,596,0.74,193,0.716,181,0.871,,,,,,,,,,,,
Rio das Ostras (RJ),197,0.773,106,0.784,483,0.689,581,0.854,,,,,,,,,,,,
Paraí (RS),197,0.773,93,0.787,593,0.679,276,0.866,,,,,,,,,,,,
Santa Cruz do Sul (RS),197,0.773,116,0.782,442,0.693,643,0.852,,,,,,,,,,,,
Veranópolis (RS),197,0.773,59,0.797,450,0.692,1281,0.838,,,,,,,,,,,,
Itu (SP),197,0.773,116,0.782,450,0.692,581,0.854,,,,,,,,,,,,
Araxá (MG),210,0.772,321,0.756,251,0.709,473,0.858,,,,,,,,,,,,
Urussanga (SC),210,0.772,321,0.756,416,0.695,118,0.876,,,,,,,,,,,,
Santo Ângelo (RS),210,0.772,232,0.765,404,0.696,343,0.863,,,,,,,,,,,,
Uberaba (MG),210,0.772,179,0.772,293,0.705,943,0.845,46.0,0.799,41.0,0.757,54.0,0.72,52.0,0.806,,,,
Recife (PE),210,0.772,58,0.798,374,0.698,1905,0.825,45.0,0.802,51.0,0.748,52.0,0.723,33.0,0.831,,,,
Monções (SP),210,0.772,805,0.731,13,0.773,2453,0.814,,,,,,,,,,,,
Santa Salete (SP),210,0.772,1248,0.712,59,0.748,319,0.864,,,,,,,,,,,,
Sales Oliveira (SP),210,0.772,639,0.738,82,0.739,943,0.845,,,,,,,,,,,,
Aratiba (RS),210,0.772,50,0.801,719,0.67,527,0.856,,,,,,,,,,,,
São Sebastião (SP),210,0.772,478,0.747,318,0.703,128,0.875,,,,,,,,,,,,
Lajeado Grande (SC),220,0.771,415,0.75,223,0.712,473,0.858,,,,,,,,,,,,
Poá (SP),220,0.771,1293,0.71,39,0.754,527,0.856,,,,,,,,,,,,
Ipatinga (MG),220,0.771,375,0.752,293,0.705,319,0.864,82.0,0.73,85.0,0.71,80.0,0.672,76.0,0.766,,,,
Maracaí (SP),220,0.771,1268,0.711,32,0.758,722,0.85,,,,,,,,,,,,
Tupã (SP),220,0.771,241,0.764,305,0.704,643,0.852,,,,,,,,,,,,
Volta Redonda (RJ),220,0.771,252,0.763,168,0.72,1515,0.833,19.0,0.895,34.0,0.767,18.0,0.822,19.0,0.854,,,,
Itá (SC),220,0.771,478,0.747,374,0.698,94,0.879,,,,,,,,,,,,
Vargem Grande Paulista (SP),227,0.77,335,0.755,548,0.683,55,0.884,,,,,,,,,,,,
Montes Claros (MG),227,0.77,1372,0.707,70,0.744,238,0.868,56.0,0.777,53.0,0.747,51.0,0.725,56.0,0.796,,,,
Timóteo (MG),227,0.77,665,0.737,73,0.742,1370,0.836,,,,,,,,,,,,
Santa Rosa de Viterbo (SP),227,0.77,494,0.746,305,0.704,238,0.868,,,,,,,,,,,,
Ouroeste (SP),227,0.77,1111,0.717,100,0.736,276,0.866,,,,,,,,,,,,
Lages (SC),227,0.77,335,0.755,389,0.697,257,0.867,,,,,,,,,,,,
Armazém (SC),227,0.77,548,0.743,374,0.698,70,0.882,,,,,,,,,,,,
Macatuba (SP),227,0.77,252,0.763,389,0.697,451,0.859,,,,,,,,,,,,
Aracaju (SE),227,0.77,106,0.784,257,0.708,1987,0.823,71.0,0.744,83.0,0.713,73.0,0.685,74.0,0.771,,,,
Presidente Castello Branco (SC),227,0.77,36,0.813,1248,0.637,64,0.883,,,,,,,,,,,,
Oriente (SP),227,0.77,1111,0.717,29,0.761,1315,0.837,,,,,,,,,,,,
Tupi Paulista (SP),238,0.769,266,0.762,205,0.715,1419,0.835,,,,,,,,,,,,
Cosmópolis (SP),238,0.769,494,0.746,389,0.697,118,0.876,,,,,,,,,,,,
Pedreira (SP),238,0.769,415,0.75,344,0.701,319,0.864,,,,,,,,,,,,
São Carlos (SC),238,0.769,252,0.763,495,0.688,257,0.867,,,,,,,,,,,,
Schroeder (SC),238,0.769,415,0.75,239,0.71,551,0.855,,,,,,,,,,,,
Santa Rosa (RS),238,0.769,375,0.752,442,0.693,181,0.871,,,,,,,,,,,,
Campo Limpo Paulista (SP),238,0.769,765,0.733,82,0.739,1183,0.84,,,,,,,,,,,,
Garça (SP),238,0.769,665,0.737,127,0.728,759,0.849,,,,,,,,,,,,
Arroio do Meio (RS),238,0.769,415,0.75,282,0.706,425,0.86,,,,,,,,,,,,
Taboão da Serra (SP),238,0.769,565,0.742,239,0.71,343,0.863,74.0,0.739,54.0,0.746,59.0,0.707,75.0,0.769,,,,
Barbacena (MG),238,0.769,398,0.751,505,0.687,77,0.881,,,,,,,,,,,,
Palotina (PR),249,0.768,291,0.76,483,0.689,319,0.864,,,,,,,,,,,,
Bilac (SP),249,0.768,548,0.743,162,0.722,943,0.845,,,,,,,,,,,,
Regente Feijó (SP),249,0.768,715,0.735,42,0.752,2259,0.818,,,,,,,,,,,,
Maracajá (SC),249,0.768,375,0.752,364,0.699,390,0.861,,,,,,,,,,,,
Toledo (PR),249,0.768,335,0.755,331,0.702,551,0.855,,,,,,,,,,,,
São Roque (SP),249,0.768,232,0.765,505,0.687,343,0.863,,,,,,,,,,,,
Igarapava (SP),249,0.768,39,0.809,708,0.671,1419,0.835,,,,,,,,,,,,
Resende (RJ),249,0.768,266,0.762,251,0.709,1238,0.839,,,,,,,,,,,,
Monte Alto (SP),249,0.768,494,0.746,269,0.707,451,0.859,,,,,,,,,,,,
Lucas do Rio Verde (MT),249,0.768,223,0.766,239,0.71,1515,0.833,,,,,,,,,,,,
Nova Veneza (SC),249,0.768,580,0.741,318,0.703,222,0.869,,,,,,,,,,,,
São Marcos (RS),249,0.768,162,0.775,548,0.683,551,0.855,,,,,,,,,,,,
Nova Boa Vista (RS),249,0.768,241,0.764,257,0.708,1370,0.836,,,,,,,,,,,,
Três Passos (RS),249,0.768,517,0.745,239,0.71,473,0.858,,,,,,,,,,,,
São Luís (MA),249,0.768,580,0.741,42,0.752,2504,0.813,78.0,0.736,54.0,0.746,66.0,0.695,44.0,0.816,,,,
São Vicente (SP),249,0.768,639,0.738,193,0.716,501,0.857,79.0,0.734,61.0,0.742,62.0,0.699,78.0,0.765,,,,
Encantado (RS),265,0.767,241,0.764,505,0.687,473,0.858,,,,,,,,,,,,
Votorantim (SP),265,0.767,1039,0.72,65,0.747,1281,0.838,,,,,,,,,,,,
Orindiúva (SP),265,0.767,1069,0.719,24,0.762,1951,0.824,,,,,,,,,,,,
Serra Negra (SP),265,0.767,241,0.764,634,0.676,147,0.873,,,,,,,,,,,,
Capivari de Baixo (SC),265,0.767,937,0.724,193,0.716,204,0.87,,,,,,,,,,,,
Estrela (RS),265,0.767,155,0.776,538,0.684,722,0.85,,,,,,,,,,,,
Avaré (SP),265,0.767,398,0.751,416,0.695,276,0.866,,,,,,,,,,,,
Dois Vizinhos (PR),265,0.767,478,0.747,232,0.711,722,0.85,,,,,,,,,,,,
